table_name,id,site_name,site_size,site_location,start_date,status,,,,
wp_projects,1,Warehouse Setup,50,xyz 234. 567,2024-10-27,1,,,,
,,,,,,,,,,
table_name,id,projectid,billNo,expenseType,billdate,description,orderTotal,confirmed,,
wp_projects_details,1,1,INV-20241027-stuvwx01,Misc,2024-10-27,Shelving Units,15000,1,,
wp_projects_details,2,1,INV-20241027-stuvwx02,Misc,2024-10-27,Material Handling Equipment,25000,1,,
wp_projects_details,3,1,INV-20241027-stuvwx03,Misc,2024-10-27,Inventory Management Software,8000,0,,
wp_projects_details,4,1,INV-20241027-stuvwx04,Misc,2024-10-27,Security Systems,12000,0,,
,,,,,,,,,,
table_name,id,storeId,materialsName,,,,,,,
wp_products,1,3,Forklifts,,,,,,,
wp_products,2,3,Pallet Racks,,,,,,,
wp_products,3,2,Conveyors,,,,,,,
wp_products,4,2,Warehouse Management System,,,,,,,
,,,,,,,,,,
table_name,attribute_id,attributeName,,,,,,,,
wp_product_attributes,1,Type,,,,,,,,
wp_product_attributes,2,Capacity,,,,,,,,
wp_product_attributes,3,Brand,,,,,,,,
wp_product_attributes,4,Material,,,,,,,,
,,,,,,,,,,
table_name,variant_id,product_id,variantSKU,variantStock,variantPrice,variantDiscount,variantGST,,,
wp_product_variants,1,1,SKU-401,20,25000.00,0,5.0,,,
wp_product_variants,2,2,SKU-402,100,1500.00,10,1.0,,,
wp_product_variants,3,3,SKU-403,50,5000.00,5,2.0,,,
wp_product_variants,4,4,SKU-404,30,10000.00,0,3.0,,,
,,,,,,,,,,
table_name,id,billid,supplierName,productid,materialsName,quantity,GST,totalPrice,discount,processed
wp_project_order,1,1,3,1,"SKU-401 - Forklifts Type: Electric",5,5.0,125000,0,0
wp_project_order,2,1,3,2,"SKU-402 - Pallet Racks Capacity: 2000kg",10,1.0,15000,10,0
wp_project_order,3,1,2,3,"SKU-403 - Conveyors Type: Belt",8,2.0,40000,5,0
wp_project_order,4,2,2,4,"SKU-404 - Warehouse Management System",3,3.0,30000,0,1
wp_project_order,5,2,3,1,"SKU-401 - Forklifts Type: Electric",2,5.0,50000,0,1
wp_project_order,6,2,3,2,"SKU-402 - Pallet Racks Capacity: 1500kg",5,1.0,7500,10,1
wp_project_order,7,3,2,3,"SKU-403 - Conveyors Type: Modular",4,2.0,20000,5,0
,,,,,,,,,,
table_name,variant_id,attribute_id,attributeValue,,,,,,,
wp_variant_attributes,1,1,Electric,,,,,,,
wp_variant_attributes,1,2,5000kg,,,,,,,
wp_variant_attributes,2,1,Standard,,,,,,,
wp_variant_attributes,2,2,2000kg,,,,,,,
wp_variant_attributes,3,1,Belt,,,,,,,
wp_variant_attributes,3,2,1500kg,,,,,,,
wp_variant_attributes,4,1,Software,,,,,,,
wp_variant_attributes,4,2,"N/A",,,,,,,
