table_name,id,site_name,site_size,site_location,start_date,status,,,,
wp_projects,1,Retail Store Setup,30,abc 123. 456,2024-10-27,1,,,,
,,,,,,,,,,
table_name,id,projectid,billNo,expenseType,billdate,description,orderTotal,confirmed,,
wp_projects_details,1,1,INV-20241027-mnopqr01,Misc,2024-10-27,Store Fixtures,20000,1,,
wp_projects_details,2,1,INV-20241027-mnopqr02,Misc,2024-10-27,Inventory,15000,1,,
wp_projects_details,3,1,INV-20241027-mnopqr03,Misc,2024-10-27,Signage,5000,0,,
wp_projects_details,4,1,INV-20241027-mnopqr04,Misc,2024-10-27,Point of Sale Systems,12000,0,,
,,,,,,,,,,
table_name,id,storeId,materialsName,,,,,,,
wp_products,1,3,T-Shirts,,,,,,,
wp_products,2,3,Jeans,,,,,,,
wp_products,3,2,Jackets,,,,,,,
wp_products,4,2,Footwear,,,,,,,
,,,,,,,,,,
table_name,attribute_id,attributeName,,,,,,,,
wp_product_attributes,1,Color,,,,,,,,
wp_product_attributes,2,Size,,,,,,,,
wp_product_attributes,3,Brand,,,,,,,,
wp_product_attributes,4,Material,,,,,,,,
,,,,,,,,,,
table_name,variant_id,product_id,variantSKU,variantStock,variantPrice,variantDiscount,variantGST,,,
wp_product_variants,1,1,SKU-301,500,15.00,0,1.2,,,
wp_product_variants,2,1,SKU-302,300,18.00,5,1.5,,,
wp_product_variants,3,2,SKU-303,400,25.00,10,2.0,,,
wp_product_variants,4,3,SKU-304,250,60.00,0,3.0,,,
wp_product_variants,5,4,SKU-305,350,50.00,0,2.5,,,
,,,,,,,,,,
table_name,id,billid,supplierName,productid,materialsName,quantity,GST,totalPrice,discount,processed
wp_project_order,1,1,3,1,"SKU-301 - T-Shirts Color: Red",200,1.2,2400,0,1
wp_project_order,2,1,3,2,"SKU-302 - T-Shirts Color: Blue",150,1.5,2700,5,1
wp_project_order,3,1,3,3,"SKU-303 - Jeans Size: 32",100,2.0,2500,10,1
wp_project_order,4,2,2,4,"SKU-304 - Jackets Brand: A",50,3.0,3000,0,0
wp_project_order,5,2,2,4,"SKU-305 - Footwear Size: 10",75,2.5,1875,0,0
wp_project_order,6,2,3,1,"SKU-301 - T-Shirts Color: Green",100,1.2,1200,0,0
wp_project_order,7,2,3,2,"SKU-302 - T-Shirts Color: Black",80,1.5,1200,5,0
wp_project_order,8,3,3,3,"SKU-303 - Jeans Size: 34",50,2.0,1000,0,0
,,,,,,,,,,
table_name,variant_id,attribute_id,attributeValue,,,,,,,
wp_variant_attributes,1,1,Red,,,,,,,
wp_variant_attributes,1,2,M,,,,,,,
wp_variant_attributes,2,1,Blue,,,,,,,
wp_variant_attributes,2,2,L,,,,,,,
wp_variant_attributes,3,1,Black,,,,,,,
wp_variant_attributes,3,2,XL,,,,,,,
wp_variant_attributes,4,1,Green,,,,,,,
wp_variant_attributes,4,2,M,,,,,,,
wp_variant_attributes,5,1,"Brand A",,,,,,,
wp_variant_attributes,5,2,Size: 10,,,,,,,
